,L_HALPHA (total),log L_HALPHA (total),L_HBETA (total),log L_HBETA (total),L_OIII5007 (total),log L_OIII5007 (total),L_NII6583 (total),log L_NII6583 (total),L_SII6716 (total),log L_SII6716 (total),L_SII6731 (total),log L_SII6731 (total),L_OII3726 (total),log L_OII3726 (total),L_OII3729 (total),log L_OII3729 (total)
NGC1097,3.845928468456054e+42,42.585001202407994,1.2913687965532789e+42,42.11105028830457,2.012297659663357e+41,41.30369222210349,5.401949207906573e+42,42.732550496395376,9.41381115807098e+41,41.973765482070185,3.1932635798210025e+40,40.50423476775251,1.6765109727618686e+40,40.22440640023089,3.3182311944271014e+40,40.52090664177454
NGC1125,1.6447027834699773e+41,41.216087427415914,5.64631287366267e+40,40.75176493961687,2.9407881562749394e+41,41.46846374063271,1.1750483409968432e+41,41.07005573366846,4.007745675772931e+40,40.60290015419829,3.680240291348387e+40,40.56587617568431,8.127685871657704e+40,40.90996691014137,4.507828660835572e+40,40.653967400482365
NGC1194,2.706817132885757e+40,40.432458916700966,8.572375065383332e+39,39.93310116438366,4.486439757903899e+40,40.651901840595734,1.4126623150247922e+40,40.15003835983282,8.299840558713354e+39,39.919069749588594,5.91595956368526e+39,39.772025196878545,5.869745065913135e+38,38.76861923942965,3.5501671997947224e+39,39.55024880720672
NGC1204,2.43619070251979e+41,41.38671128141994,8.179394547685159e+40,40.912721157665096,1.98108273166266e+40,40.29690261241605,1.758702046894464e+41,41.24519226904804,4.388431225605081e+40,40.642309296591606,3.163022593295345e+40,40.500102294068256,7.640448631036666e+37,37.88311886018083,0.0,-inf
NGC1217,1.586603478652348e+41,41.20046840214848,4.593623772839775e+40,40.6621554227113,1.6274610700670525e+40,40.2115106087565,9.968776841572458e+40,40.998641874104656,1.7222204140314701e+40,40.23608873275747,8.650803291148431e+39,39.93705643679606,3.870114215473536e+39,39.58772378218117,4.3439406473109577e+39,39.637883882713055
NGC1266,6.536852532865807e+40,40.81536868767587,2.2485613453625213e+40,40.351904740509255,3.2257232253639583e+40,40.508627101163974,1.6739077181762454e+41,41.22373151184628,3.8244498145142104e+40,40.582568966363674,2.9044237639070415e+40,40.46305998148396,8.317945725688171e+39,39.92001608228149,8.929453082910705e+40,40.95082485974546
NGC1320,1.1918625791938235e+41,41.07622618448284,4.199873013216745e+40,40.623236159328144,2.2527224120636728e+41,41.35270767981248,7.309492244041794e+40,40.8638872096159,2.4091814042395926e+40,40.38186950232052,1.985983534970114e+40,40.29797564360485,5.987786432957503e+39,39.77726630191782,1.7942679122341347e+40,40.253887290501744
NGC1346,4.740040967554987e+41,41.67578209524079,1.628776239095086e+41,41.211861425130415,2.7604935276786234e+40,40.44098673321977,1.7107002408567229e+41,41.23317391652711,7.485933743483277e+40,40.87424597894098,5.279976250916107e+40,40.72263196910213,1.6740354933225435e+40,40.223764661775945,3.781206086559478e+40,40.57763034830051
NGC1365,9.302053734061221e+41,41.96857884391973,3.2503966166875338e+41,41.51193635726485,2.5849690573392907e+41,41.4124553488585,4.397772023581945e+41,41.64323271218562,9.511755241246679e+40,40.97826066638528,7.619985618146394e+40,40.88195415165908,6.805296122454313e+40,40.83284702763631,1.3769208888105458e+41,41.138908988521244
NGC1566,5.478975557801285e+40,40.73869936301261,2.035114757969601e+40,40.30858890365841,2.2955243037540144e+40,40.36088189519848,3.8759084794959853e+40,40.58837351365243,9.294088020387283e+39,39.968206781182175,6.7469403636015e+39,39.82910687143094,2.9152195202931345e+39,39.464671263335994,6.780393151283767e+39,39.831254876534146
NGC1667,1.1503187608513465e+42,42.060818202872085,3.995548960501156e+41,41.601576456775845,1.3779857571890452e+41,41.139244728742746,5.074332468328339e+41,41.70537891862677,1.5544595303063621e+41,41.191579419854015,1.1988789538160853e+41,41.07877533627356,9.351188391796685e+40,40.970866806509235,1.162922778530792e+41,41.06555087726378
NGC1672,1.2000334566189508e+42,42.079193354233,4.195557171627625e+41,41.62278964347112,1.692653133616777e+41,41.228567969573625,6.736997600904489e+41,41.82846639269717,1.6543741808573324e+41,41.21863374361,3.9561224695192517e+40,40.59726972756951,4.7760502704981876e+41,41.679068889328406,5.290804915887519e+41,41.72352174839361
