ID,Eddington ratio,M_BH,sigma_* (km/s)
738,   3.5385729e-10,540524.0,54.703442976450845
739,   0.00079291806,1125120.0,65.02871839518006
740,   2.5867101e-11,117236.0,38.14774833890336
741,   3.3403063e-07,8590.83,20.59558484363773
742,   0.00011069601,154394.0,40.707013893750556
743,   2.2406034e-05,85124.2,35.37398728189837
744,   5.4291756e-09,7146.35,19.72049437536771
745,   4.8666032e-05,31628.7,28.007580646752128
746,   1.9897235e-06,45448.8,30.507591683576884
747,   2.9743445e-07,34332.0,28.554595390065156
748,   5.1241021e-08,25716.6,26.673521816534247
749,   7.2343130e-05,259973.0,46.03004234227679
750,   4.5884136e-06,47956.8,30.896533738763686
751,   3.6267463e-06,173350.0,41.83414551736206
752,   8.1501079e-05,77669.4,34.61756316856443
753,   6.9264371e-07,117735.0,38.18598126370195
754,   5.3284370e-07,7143.43,19.718593654591313
755,   4.4258741e-05,47539.3,30.832883537984696
756,   0.00020688006,78558.8,34.710649577123924
757,   2.8088475e-06,319239.0,48.31435747908747
758,   3.3096666e-08,5717.18,18.709554848734086
759,   8.5171383e-05,14369.0,23.25202517668385
760,   2.0584617e-11,200256.0,43.282227503743
761,   1.1410175e-05,98037.5,36.572176257554595
762,   1.6075491e-05,371597.0,50.07626504705516
763,   1.1054194e-07,2857.43,15.88635418782101
764,   1.1507168e-05,251030.0,45.65158397570181
765,   2.2329699e-05,28662.6,27.364614303400277
766,   0.00028679792,185252.0,42.49448474426221
767,   1.3398457e-08,118904.0,38.275066536589065
768,            -NaN,0.0,0.0
769,   5.3759861e-09,76094.7,34.45073471944045
770,   2.2876265e-07,46408.7,30.658346113248346
771,   9.1106648e-06,117203.0,38.14521552831736
772,   5.8414221e-11,397960.0,50.892349487200896
773,   5.8251231e-05,32947.7,28.278765363868715
774,   8.9092216e-06,259149.0,45.99559140180512
775,   6.1574477e-06,77970.0,34.6491152812356
776,   2.5165610e-11,159042.0,40.9927745171968
777,   5.0096244e-07,71559.8,33.95508231770692
778,   7.1098577e-12,189049.0,42.69831597095541
779,   7.6760937e-11,525308.0,54.33628032770778
780,   3.0507058e-07,18584.1,24.706353968513177
781,   2.6743042e-05,110381.0,37.60949698994454
782,   2.0895766e-11,210653.0,43.8020123906333
783,   1.8477269e-10,190275.0,42.76346195426392
784,   7.3398153e-11,194426.0,42.981679164335695
785,   1.0575384e-05,180428.0,42.23086532478562
786,   3.1201753e-05,148284.0,40.32119237882058
787,   5.5865387e-08,1428.58,13.490154436642324
788,   0.00028222092,366050.0,49.89895072742653
789,   9.0256059e-08,1429.04,13.491178792623316
790,   6.6627475e-07,11435.4,22.032836458673067
791,   3.5689825e-11,172226.0,41.77001183131489
792,   1.1099531e-05,137709.0,39.62370413970239
793,   1.7874194e-06,113121.0,37.82762374801772
794,   1.6459728e-06,521515.0,54.2434917643424
795,   4.5470880e-05,94304.4,36.23884312485172
796,   7.5183839e-13,11447.3,22.03824185511805
797,   2.0289171e-08,1428.58,13.490154436642324
798,   1.3296965e-05,150402.0,40.4562883541871
799,   4.9966193e-06,75885.4,34.42836274301968
800,   3.6540973e-05,158033.0,40.93128852635575
801,   1.2288045e-06,47243.0,30.78745131975059
802,   1.6468961e-06,158763.0,40.97580282589101
803,   2.4780094e-07,37514.1,29.157824731829287
804,   1.0277090e-07,44457.4,30.34931391955376
805,   8.7683701e-11,196693.0,43.099355414457
806,   2.8085675e-06,282923.0,46.9576625759499
807,   3.1195042e-07,60090.4,32.58459514583181
808,   7.9710083e-07,66405.1,33.36163413112478
809,            -NaN,0.0,0.0
810,   3.1917574e-06,42956.3,30.104448240123986
811,   1.6952056e-06,146956.0,40.23573242243898
812,   8.0038321e-05,308773.0,47.93601307449133
813,   1.8921062e-06,75747.3,34.41357546778699
814,   4.4622653e-08,81666.9,35.029754024844415
815,   2.0745583e-05,110218.0,37.596390991063714
816,            -NaN,0.0,0.0
817,   1.2573055e-08,31456.7,27.971584073498047
818,            -NaN,0.0,0.0
819,   2.5393294e-10,426988.0,51.744462503483724
820,   1.5529594e-07,30098.1,27.681834843289966
821,   1.5729469e-09,1428.6,13.490198979099583
822,            -NaN,0.0,0.0
823,   4.1921984e-09,17146.7,24.24170400504938
824,   9.9377825e-06,187488.0,42.614900222176715
825,   6.8746256e-07,20043.6,25.150844540988842
